date,average_wind_speed,precipitation,snowfall,snow_depth,average_temperature,maximum_temperature,minimum_temperature,fog,heavy_fog
1/1/22,8.05,0,0,3.1,25,34,22,0,0
1/2/22,8.5,0.79,0,3.1,34,43,30,1,0
1/3/22,11.41,0.49,0,0,38,41,33,1,0
1/4/22,9.62,0.22,0,0,36,42,35,1,0
1/5/22,4.92,0.33,0,0,38,39,34,1,0
1/6/22,14.32,2,0,0,41,50,36,1,0
1/7/22,14.76,0.38,0,0,47,48,38,1,0
1/8/22,8.95,0,0,0,39,45,37,0,0
1/9/22,5.37,0,0,0,40,50,32,0,0
1/10/22,5.82,0.27,0,0,42,48,33,1,0
1/11/22,8.5,1.7,0,0,48,53,45,1,0
1/12/22,5.82,0.14,0,0,52,56,43,1,0
1/13/22,5.14,0.24,0,0,49,54,41,1,0
1/14/22,2.91,0,0,0,45,50,39,1,1
1/15/22,3.13,0,0,0,42,43,38,1,1
1/16/22,3.36,0,0,0,40,42,38,1,1
1/17/22,6.26,0.02,0,0,40,48,39,1,1
1/18/22,7.61,0.03,0,0,46,47,45,1,0
1/19/22,4.03,0.01,0,0,45,50,42,1,0
1/20/22,13.2,0.16,0,0,49,52,40,1,0
1/21/22,3.58,0,0,0,43,48,37,1,0
1/22/22,6.49,0,0,0,40,44,34,1,1
1/23/22,4.03,0,0,0,37,38,35,1,1
1/24/22,4.03,0,0,0,36,39,34,1,1
1/25/22,3.36,0,0,0,36,44,33,1,1
1/26/22,7.16,0,0,0,35,39,32,1,1
1/27/22,2.01,0,0,0,35,45,31,1,1
1/28/22,4.92,0,0,0,37,50,28,1,1
1/29/22,5.82,0,0,0,41,52,30,0,0
1/30/22,11.18,0.28,0,0,45,53,39,1,0
1/31/22,9.17,0,0,0,42,46,35,0,0
2/1/22,6.49,0,0,0,39,45,35,0,0
2/2/22,7.16,0,0,0,37,43,33,1,0
2/3/22,8.95,0.14,0,0,43,48,41,1,0
2/4/22,12.08,0.03,0,0,44,48,40,1,0
2/5/22,5.82,0.04,0,0,44,47,38,1,0
2/6/22,4.7,0,0,0,41,49,34,1,1
2/7/22,12.53,0,0,0,45,52,40,0,0
2/8/22,3.8,0,0,0,44,47,41,0,0
2/9/22,3.13,0,0,0,45,54,39,0,0
2/10/22,6.71,0,0,0,47,49,42,1,1
2/11/22,12.75,0,0,0,45,51,40,1,0
2/12/22,11.63,0,0,0,44,56,36,1,0
2/13/22,3.58,0,0,0,42,57,32,1,1
2/14/22,7.83,0.1,0,0,47,48,41,1,0
2/15/22,5.59,0,0,0,44,50,39,1,1
2/16/22,4.25,0,0,0,46,51,38,1,0
2/17/22,6.49,0,0,0,42,47,36,1,0
2/18/22,2.24,0,0,0,45,49,42,1,0
2/19/22,13.2,0.01,0,0,43,46,40,1,0
2/20/22,8.28,0.36,0,0,43,48,36,1,0
2/21/22,11.63,0.06,0,0,38,42,29,1,0
2/22/22,13.2,0,0,0,33,35,27,0,0
2/23/22,5.37,0,0,0,29,36,23,0,0
2/24/22,5.59,0,0,0,33,40,27,1,0
2/25/22,5.37,0,0,0,34,48,26,0,0
2/26/22,8.5,0.36,0,0,41,50,34,1,0
2/27/22,9.84,1.25,0,0,44,50,42,1,0
2/28/22,10.74,2.97,0,0,49,54,47,1,0
3/1/22,7.83,0.15,0,0,53,57,49,1,0
3/2/22,6.26,0.25,0,0,50,51,46,1,0
3/3/22,5.59,0.16,0,0,45,50,41,1,0
3/4/22,7.61,0.46,0,0,44,49,41,1,0
3/5/22,4.7,0,0,0,43,51,37,1,0
3/6/22,2.91,0,0,0,42,50,32,1,1
3/7/22,6.71,0,0,0,42,48,35,1,1
3/8/22,3.58,0.08,0,0,44,48,38,1,0
3/9/22,8.28,0,0,0,41,47,34,1,1
3/10/22,4.25,0,0,0,38,46,29,0,0
3/11/22,3.58,0,0,0,43,50,40,0,0
3/12/22,5.37,0.02,0,0,47,55,39,0,0
3/13/22,8.72,0.1,0,0,47,53,39,1,0
3/14/22,8.28,0.59,0,0,46,49,43,1,0
3/15/22,12.3,0.22,0,0,46,53,43,1,0
3/16/22,8.28,0,0,0,46,53,41,0,0
3/17/22,6.49,0.02,0,0,46,51,42,1,0
3/18/22,6.71,0.21,0,0,47,55,44,1,0
3/19/22,11.18,0.31,0,0,48,52,39,1,0
3/20/22,10.07,0.21,0,0,42,48,38,1,0
3/21/22,4.7,0.41,0,0,43,49,41,1,0
3/22/22,4.47,0.02,0,0,51,63,48,1,0
3/23/22,8.5,0.09,0,0,54,56,41,1,0
3/24/22,8.5,0,0,0,46,57,40,1,0
3/25/22,4.47,0,0,0,49,59,42,0,0
3/26/22,3.8,0.01,0,0,51,59,46,0,0
3/27/22,3.8,0,0,0,53,63,44,1,0
3/28/22,5.59,0,0,0,53,56,44,0,0
3/29/22,5.82,0,0,0,49,58,44,1,0
3/30/22,10.96,0,0,0,49,56,43,0,0
3/31/22,6.04,0.01,0,0,46,54,41,0,0
4/1/22,8.5,0.05,0,0,47,53,40,0,0
4/2/22,9.84,0,0,0,47,55,42,0,0
4/3/22,12.3,0.23,0,0,48,54,44,1,0
4/4/22,17.67,0.55,0,0,46,49,38,1,0
4/5/22,12.75,0.01,0,0,43,53,39,0,0
4/6/22,6.04,0,0,0,45,60,33,1,0
4/7/22,5.82,0,0,0,55,73,42,0,0
4/8/22,14.99,0.06,0,0,55,56,41,1,0
